file,description,generation_command,input_files,generated_at,commit_hash,scope,metric_scope,presentation_caution
01_repository_status.md,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T07:59:38+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
02_unit_test_full_log.txt,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T07:50:08+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
03_environment_versions.txt,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T07:58:39+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
04_exp137_verified_summary.csv,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T08:06:31+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
05_exp137_verification_report.md,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T08:11:00+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
06_before_after_comparison.csv,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T08:06:31+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
07_before_after_comparison.md,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T08:11:00+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
08_train_only_lineage_audit.csv,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T08:11:00+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
09_train_only_lineage_audit.md,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T09:09:43+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
10_experiment_dependency_graph.mmd,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T08:11:00+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
11_alert_fp_comparison.csv,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T08:06:31+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
12_lane_flow.csv,generated presentation input / audit artifact,captured command or read-only audit script under /tmp,"Exp137 and upstream CSVs, SQLite DB, repository source code",2026-07-13T08:06:31+09:00,05c471fd650f34ca641944d7524f6484a84f4fb2,retrospective except prospective inventory,Hard alert autonomous; combined/review human-assisted where applicable,Labels are post-hoc only; priority review is not autonomous
